# Sensitivity Analysis Results
# ============================================================
# Timestamp,2026-01-13T06:09:02.935062
# Problem,beam_CrLinearBeamElement2D2N_del_theta_1.0
# Template,beam
# Response Location,"(1.0, 0.0)"
#
# Material Properties
# E [Pa],2.100000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.050000e+06
#
# Geometry
# Elements,20
# Nodes (primary),21
# Nodes (dual),22
# Total Length [m],2.000000
#
# Summary
# Total Sensitivity,-8.571429e-12
# Max Sensitivity,7.857144e-05,Element 10
# Min Sensitivity,-1.357143e-04,Element 20
# Beams,20,Sum: -8.571429e-12
# Columns,0,Sum: 0.000000e+00
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,beam,0.100000,0.050000,0.000000,2850.000000,525000.000000,1.496250e+08,-1.357143e-04
2,beam,0.100000,0.150000,0.000000,1950.000000,525000.000000,1.023750e+08,-9.285714e-05
3,beam,0.100000,0.250000,0.000000,1150.000000,525000.000000,6.037501e+07,-5.476191e-05
4,beam,0.100000,0.350000,0.000000,450.000000,525000.000000,2.362500e+07,-2.142857e-05
5,beam,0.100000,0.450000,0.000000,-150.000000,525000.000000,-7.874999e+06,7.142856e-06
6,beam,0.100000,0.550000,0.000000,-650.000000,525000.000000,-3.412501e+07,3.095239e-05
7,beam,0.100000,0.650000,0.000000,-1050.000000,525000.000000,-5.512498e+07,4.999999e-05
8,beam,0.100000,0.750000,0.000000,-1350.000000,525000.000000,-7.087501e+07,6.428573e-05
9,beam,0.100000,0.850000,0.000000,-1550.000000,525000.000000,-8.137498e+07,7.380950e-05
10,beam,0.100000,0.950000,0.000000,-1650.000000,525000.000000,-8.662502e+07,7.857144e-05
11,beam,0.100000,1.050000,0.000000,-1650.000000,525000.000000,-8.662500e+07,7.857143e-05
12,beam,0.100000,1.150000,0.000000,-1550.000000,525000.000000,-8.137500e+07,7.380952e-05
13,beam,0.100000,1.250000,0.000000,-1350.000000,525000.000000,-7.087500e+07,6.428571e-05
14,beam,0.100000,1.350000,0.000000,-1050.000000,525000.000000,-5.512500e+07,5.000000e-05
15,beam,0.100000,1.450000,0.000000,-650.000000,525000.000000,-3.412500e+07,3.095238e-05
16,beam,0.100000,1.550000,0.000000,-150.000000,525000.000000,-7.875000e+06,7.142857e-06
17,beam,0.100000,1.650000,0.000000,450.000000,525000.000000,2.362500e+07,-2.142857e-05
18,beam,0.100000,1.750000,0.000000,1150.000000,525000.000000,6.037500e+07,-5.476190e-05
19,beam,0.100000,1.850000,0.000000,1950.000000,525000.000000,1.023750e+08,-9.285714e-05
20,beam,0.100000,1.950000,0.000000,2850.000000,525000.000000,1.496250e+08,-1.357143e-04

TOTAL,,,,,,,,-8.571429e-12
