# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T01:41:57.558718
# Problem,beam_example_E2079
# Template,beam
# Response Location,"(1.0, 0.0)"
#
# Material Properties
# E [Pa],2.079000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.039500e+06
#
# Geometry
# Elements,20
# Nodes (primary),21
# Nodes (dual),22
# Total Length [m],2.000000
#
# Summary
# Total Sensitivity,-2.874505e-05
# Max Sensitivity,7.209136e-05,Element 12
# Min Sensitivity,-1.378069e-04,Element 20
# Beams,20,Sum: -2.874505e-05
# Columns,0,Sum: 0.000000e+00
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,beam,0.100000,0.050000,0.000000,2850.000000,522486.380000,1.489086e+08,-1.378069e-04
2,beam,0.100000,0.150000,0.000000,1949.999900,521808.250000,1.017526e+08,-9.416652e-05
3,beam,0.100000,0.250000,0.000000,1149.999900,520476.560000,5.985481e+07,-5.539238e-05
4,beam,0.100000,0.350000,0.000000,449.999970,518538.880000,2.333425e+07,-2.159458e-05
5,beam,0.100000,0.450000,0.000000,-149.999980,516062.660000,-7.740938e+06,7.163819e-06
6,beam,0.100000,0.550000,0.000000,-649.999940,513131.160000,-3.335353e+07,3.086689e-05
7,beam,0.100000,0.650000,0.000000,-1049.999900,509838.720000,-5.353304e+07,4.954193e-05
8,beam,0.100000,0.750000,0.000000,-1350.000000,506285.840000,-6.834860e+07,6.325293e-05
9,beam,0.100000,0.850000,0.000000,-1550.000000,502574.560000,-7.789903e+07,7.209134e-05
10,beam,0.100000,0.950000,0.000000,-1650.000000,469362.000000,-7.744475e+07,7.167092e-05
11,beam,0.100000,1.050000,0.000000,-1650.000000,469362.000000,-7.744473e+07,7.167090e-05
12,beam,0.100000,1.150000,0.000000,-1550.000000,502574.560000,-7.789906e+07,7.209136e-05
13,beam,0.100000,1.250000,0.000000,-1350.000000,506285.840000,-6.834859e+07,6.325292e-05
14,beam,0.100000,1.350000,0.000000,-1049.999900,509838.720000,-5.353306e+07,4.954195e-05
15,beam,0.100000,1.450000,0.000000,-649.999940,513131.160000,-3.335352e+07,3.086688e-05
16,beam,0.100000,1.550000,0.000000,-149.999980,516062.660000,-7.740939e+06,7.163820e-06
17,beam,0.100000,1.650000,0.000000,449.999970,518538.880000,2.333425e+07,-2.159458e-05
18,beam,0.100000,1.750000,0.000000,1149.999900,520476.560000,5.985480e+07,-5.539238e-05
19,beam,0.100000,1.850000,0.000000,1949.999900,521808.250000,1.017526e+08,-9.416652e-05
20,beam,0.100000,1.950000,0.000000,2850.000000,522486.380000,1.489086e+08,-1.378069e-04

TOTAL,,,,,,,,-2.874505e-05
