# Sensitivity Analysis Results
# ============================================================
# Timestamp,2026-01-08T17:51:05.454060
# Problem,frame_1example
# Template,frame_1story
# Response Location,"(1.0, 2.0)"
#
# Material Properties
# E [Pa],2.100000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.050000e+06
#
# Geometry
# Elements,30
# Nodes (primary),31
# Nodes (dual),32
# Total Length [m],6.000000
#
# Summary
# Total Sensitivity,4.531220e-05
# Max Sensitivity,1.773682e-04,Element 16
# Min Sensitivity,-1.209191e-04,Element 10
# Beams,10,Sum: 7.430214e-04
# Columns,20,Sum: -6.977092e-04
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,column,0.200000,0.000000,0.100000,-932.330380,-147093.890000,2.742802e+07,-2.487802e-05
2,column,0.200000,0.000000,0.300000,-602.765990,-94695.898000,1.141589e+07,-1.035455e-05
3,column,0.200000,0.000000,0.500000,-273.201630,-42238.680000,2.307935e+06,-2.093365e-06
4,column,0.200000,0.000000,0.700000,56.362785,10270.071000,1.157700e+05,-1.050068e-07
5,column,0.200000,0.000000,0.900000,385.927190,62764.867000,4.844534e+06,-4.394135e-06
6,column,0.200000,0.000000,1.100000,715.491580,115194.280000,1.648411e+07,-1.495157e-05
7,column,0.200000,0.000000,1.300000,1045.055900,167592.720000,3.502875e+07,-3.177211e-05
8,column,0.200000,0.000000,1.500000,1374.620400,220151.980000,6.052508e+07,-5.489803e-05
9,column,0.200000,0.000000,1.700000,1704.184900,273294.380000,9.314883e+07,-8.448874e-05
10,column,0.200000,0.000000,1.900000,2033.749800,327752.440000,1.333133e+08,-1.209191e-04
11,beam,0.200000,0.100000,2.000000,1298.562300,357680.340000,9.289404e+07,-8.425763e-05
12,beam,0.200000,0.300000,2.000000,-301.434880,362898.440000,-2.187805e+07,1.984404e-05
13,beam,0.200000,0.500000,2.000000,-1501.432500,369695.120000,-1.110145e+08,1.006934e-04
14,beam,0.200000,0.700000,2.000000,-2301.430200,378120.720000,-1.740437e+08,1.578627e-04
15,beam,0.200000,0.900000,2.000000,-2701.428700,361935.190000,-1.955484e+08,1.773682e-04
16,beam,0.200000,1.100000,2.000000,-2701.428700,361935.190000,-1.955484e+08,1.773682e-04
17,beam,0.200000,1.300000,2.000000,-2301.430200,378120.720000,-1.740437e+08,1.578628e-04
18,beam,0.200000,1.500000,2.000000,-1501.432500,369695.120000,-1.110145e+08,1.006934e-04
19,beam,0.200000,1.700000,2.000000,-301.434880,362898.440000,-2.187805e+07,1.984404e-05
20,beam,0.200000,1.900000,2.000000,1298.562300,357680.340000,9.289404e+07,-8.425763e-05
21,column,0.200000,2.000000,1.900000,2033.749800,327752.440000,1.333133e+08,-1.209191e-04
22,column,0.200000,2.000000,1.700000,1704.184900,273294.380000,9.314883e+07,-8.448874e-05
23,column,0.200000,2.000000,1.500000,1374.620400,220151.980000,6.052508e+07,-5.489803e-05
24,column,0.200000,2.000000,1.300000,1045.055900,167592.720000,3.502875e+07,-3.177211e-05
25,column,0.200000,2.000000,1.100000,715.491580,115194.280000,1.648411e+07,-1.495157e-05
26,column,0.200000,2.000000,0.900000,385.927190,62764.867000,4.844534e+06,-4.394135e-06
27,column,0.200000,2.000000,0.700000,56.362785,10270.071000,1.157700e+05,-1.050068e-07
28,column,0.200000,2.000000,0.500000,-273.201630,-42238.680000,2.307935e+06,-2.093365e-06
29,column,0.200000,2.000000,0.300000,-602.765990,-94695.898000,1.141589e+07,-1.035455e-05
30,column,0.200000,2.000000,0.100000,-932.330380,-147093.890000,2.742802e+07,-2.487802e-05

TOTAL,,,,,,,,4.531220e-05
