# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-25T00:36:17.630837
# Problem,frame_2_example_E2079
# Template,frame_2story
# Response Location,"(1.0, 4.0)"
#
# Material Properties
# E [Pa],2.079000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.039500e+06
#
# Geometry
# Elements,60
# Nodes (primary),60
# Nodes (dual),61
# Total Length [m],12.000000
#
# Summary
# Total Sensitivity,4.074363e-05
# Max Sensitivity,1.625116e-04,Element 26
# Min Sensitivity,-1.253732e-04,Element 20
# Beams,20,Sum: 6.549232e-04
# Columns,40,Sum: -6.141796e-04
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,column,0.200000,0.000000,0.100000,-404.456940,30652.695000,-2.479539e+06,2.294679e-06
2,column,0.200000,0.000000,0.300000,-262.139620,19749.430000,-1.035422e+06,9.582267e-07
3,column,0.200000,0.000000,0.500000,-119.822270,8845.619100,-2.119804e+05,1.961764e-07
4,column,0.200000,0.000000,0.700000,22.495079,-2058.669200,-9.261985e+03,8.571465e-09
5,column,0.200000,0.000000,0.900000,164.812420,-12962.834000,-4.272872e+05,3.954312e-07
6,column,0.200000,0.000000,1.100000,307.129760,-23866.396000,-1.466016e+06,1.356719e-06
7,column,0.200000,0.000000,1.300000,449.447110,-34769.664000,-3.125425e+06,2.892412e-06
8,column,0.200000,0.000000,1.500000,591.764470,-45674.375000,-5.405694e+06,5.002678e-06
9,column,0.200000,0.000000,1.700000,734.081790,-56584.375000,-8.307512e+06,7.688152e-06
10,column,0.200000,0.000000,1.900000,876.399170,-67506.258000,-1.183249e+07,1.095032e-05
11,column,0.200000,0.000000,2.100000,-1668.695800,-87594.984000,2.923388e+07,-2.705437e-05
12,column,0.200000,0.000000,2.300000,-1245.231600,-43089.266000,1.073123e+07,-9.931171e-06
13,column,0.200000,0.000000,2.500000,-821.767400,1467.876100,-2.412503e+05,2.232641e-07
14,column,0.200000,0.000000,2.700000,-398.303190,46023.039000,-3.666226e+06,3.392894e-06
15,column,0.200000,0.000000,2.900000,25.160990,90524.281000,4.555361e+05,-4.215740e-07
16,column,0.200000,0.000000,3.100000,448.625180,134965.950000,1.210982e+07,-1.120699e-05
17,column,0.200000,0.000000,3.300000,872.089360,179433.190000,3.129637e+07,-2.896310e-05
18,column,0.200000,0.000000,3.500000,1295.553500,224146.590000,5.807872e+07,-5.374871e-05
19,column,0.200000,0.000000,3.700000,1719.017800,269509.280000,9.265830e+07,-8.575024e-05
20,column,0.200000,0.000000,3.900000,2142.482400,316159.620000,1.354733e+08,-1.253732e-04
21,beam,0.200000,0.100000,4.000000,1454.246100,342100.880000,9.949977e+07,-9.208165e-05
22,beam,0.200000,0.300000,4.000000,-145.749650,347107.880000,-1.011817e+07,9.363819e-06
23,beam,0.200000,0.500000,4.000000,-1345.746300,353521.030000,-9.514993e+07,8.805611e-05
24,beam,0.200000,0.700000,4.000000,-2145.743700,361382.840000,-1.550870e+08,1.435246e-04
25,beam,0.200000,0.900000,4.000000,-2545.741900,344896.750000,-1.756036e+08,1.625116e-04
26,beam,0.200000,1.100000,4.000000,-2545.741900,344896.750000,-1.756036e+08,1.625116e-04
27,beam,0.200000,1.300000,4.000000,-2145.743700,361382.840000,-1.550870e+08,1.435246e-04
28,beam,0.200000,1.500000,4.000000,-1345.746300,353521.030000,-9.514992e+07,8.805610e-05
29,beam,0.200000,1.700000,4.000000,-145.749650,347107.880000,-1.011817e+07,9.363819e-06
30,beam,0.200000,1.900000,4.000000,1454.246100,342100.880000,9.949977e+07,-9.208165e-05
31,column,0.200000,2.000000,3.900000,2142.482400,316159.620000,1.354733e+08,-1.253732e-04
32,column,0.200000,2.000000,3.700000,1719.017800,269509.280000,9.265830e+07,-8.575024e-05
33,column,0.200000,2.000000,3.500000,1295.553500,224146.590000,5.807872e+07,-5.374871e-05
34,column,0.200000,2.000000,3.300000,872.089360,179433.190000,3.129637e+07,-2.896310e-05
35,column,0.200000,2.000000,3.100000,448.625180,134965.950000,1.210982e+07,-1.120699e-05
36,column,0.200000,2.000000,2.900000,25.160990,90524.281000,4.555361e+05,-4.215740e-07
37,column,0.200000,2.000000,2.700000,-398.303190,46023.039000,-3.666226e+06,3.392894e-06
38,column,0.200000,2.000000,2.500000,-821.767400,1467.876100,-2.412503e+05,2.232641e-07
39,column,0.200000,2.000000,2.300000,-1245.231600,-43089.266000,1.073123e+07,-9.931171e-06
40,column,0.200000,2.000000,2.100000,-1668.695800,-87594.984000,2.923388e+07,-2.705437e-05
41,column,0.200000,2.000000,1.900000,876.399170,-67506.258000,-1.183249e+07,1.095032e-05
42,column,0.200000,2.000000,1.700000,734.081790,-56584.375000,-8.307512e+06,7.688152e-06
43,column,0.200000,2.000000,1.500000,591.764470,-45674.375000,-5.405694e+06,5.002678e-06
44,column,0.200000,2.000000,1.300000,449.447110,-34769.664000,-3.125425e+06,2.892412e-06
45,column,0.200000,2.000000,1.100000,307.129760,-23866.396000,-1.466016e+06,1.356719e-06
46,column,0.200000,2.000000,0.900000,164.812420,-12962.834000,-4.272872e+05,3.954312e-07
47,column,0.200000,2.000000,0.700000,22.495079,-2058.669200,-9.261985e+03,8.571465e-09
48,column,0.200000,2.000000,0.500000,-119.822270,8845.619100,-2.119804e+05,1.961764e-07
49,column,0.200000,2.000000,0.300000,-262.139620,19749.430000,-1.035422e+06,9.582267e-07
50,column,0.200000,2.000000,0.100000,-404.456940,30652.695000,-2.479539e+06,2.294679e-06
51,beam,0.200000,0.100000,2.000000,1928.048000,36860.938000,1.421393e+07,-1.315422e-05
52,beam,0.200000,0.300000,2.000000,328.044190,36854.176000,2.417960e+06,-2.237691e-06
53,beam,0.200000,0.500000,2.000000,-871.958740,36849.105000,-6.426180e+06,5.947082e-06
54,beam,0.200000,0.700000,2.000000,-1671.960400,36845.723000,-1.232092e+07,1.140234e-05
55,beam,0.200000,0.900000,2.000000,-2071.961200,36844.035000,-1.526788e+07,1.412960e-05
56,beam,0.200000,1.100000,2.000000,-2071.961200,36844.035000,-1.526788e+07,1.412960e-05
57,beam,0.200000,1.300000,2.000000,-1671.960400,36845.723000,-1.232092e+07,1.140234e-05
58,beam,0.200000,1.500000,2.000000,-871.958740,36849.105000,-6.426180e+06,5.947081e-06
59,beam,0.200000,1.700000,2.000000,328.044190,36854.176000,2.417960e+06,-2.237691e-06
60,beam,0.200000,1.900000,2.000000,1928.048000,36860.938000,1.421393e+07,-1.315422e-05

TOTAL,,,,,,,,4.074363e-05
