# Sensitivity Analysis Results
# ============================================================
# Timestamp,2025-12-22T17:03:32.375724
# Problem,frame_2_example
# Template,frame_2story
# Response Location,"(1.0, 4.0)"
#
# Material Properties
# E [Pa],2.100000e+11
# I [m^4],5.000000e-06
# EI [N.m^2],1.050000e+06
#
# Geometry
# Elements,60
# Nodes (primary),60
# Nodes (dual),61
# Total Length [m],12.000000
#
# Summary
# Total Sensitivity,4.033612e-05
# Max Sensitivity,1.608865e-04,Element 26
# Min Sensitivity,-1.241195e-04,Element 20
# Beams,20,Sum: 6.483740e-04
# Columns,40,Sum: -6.080379e-04
#
# ============================================================

Element_ID,Member_Type,Length_m,X_Center_m,Y_Center_m,M_Primary_Nm,M_Dual_Nm,Integral,dM_dEI
1,column,0.200000,0.000000,0.100000,-404.457060,30962.318000,-2.504586e+06,2.271733e-06
2,column,0.200000,0.000000,0.300000,-262.139680,19948.920000,-1.045881e+06,9.486447e-07
3,column,0.200000,0.000000,0.500000,-119.822300,8934.968800,-2.141217e+05,1.942147e-07
4,column,0.200000,0.000000,0.700000,22.495085,-2079.463900,-9.355543e+03,8.485753e-09
5,column,0.200000,0.000000,0.900000,164.812470,-13093.771000,-4.316033e+05,3.914769e-07
6,column,0.200000,0.000000,1.100000,307.129850,-24107.471000,-1.480825e+06,1.343152e-06
7,column,0.200000,0.000000,1.300000,449.447240,-35120.871000,-3.156996e+06,2.863488e-06
8,column,0.200000,0.000000,1.500000,591.764650,-46135.734000,-5.460299e+06,4.952652e-06
9,column,0.200000,0.000000,1.700000,734.082030,-57155.934000,-8.391429e+06,7.611273e-06
10,column,0.200000,0.000000,1.900000,876.399410,-68188.141000,-1.195201e+07,1.084082e-05
11,column,0.200000,0.000000,2.100000,-1668.696000,-88479.781000,2.952917e+07,-2.678383e-05
12,column,0.200000,0.000000,2.300000,-1245.231700,-43524.512000,1.083963e+07,-9.831860e-06
13,column,0.200000,0.000000,2.500000,-821.767520,1482.703100,-2.436872e+05,2.210315e-07
14,column,0.200000,0.000000,2.700000,-398.303250,46487.918000,-3.703260e+06,3.358966e-06
15,column,0.200000,0.000000,2.900000,25.160994,91438.672000,4.601376e+05,-4.173583e-07
16,column,0.200000,0.000000,3.100000,448.625240,136329.250000,1.223215e+07,-1.109492e-05
17,column,0.200000,0.000000,3.300000,872.089480,181245.640000,3.161250e+07,-2.867347e-05
18,column,0.200000,0.000000,3.500000,1295.553700,226410.700000,5.866539e+07,-5.321123e-05
19,column,0.200000,0.000000,3.700000,1719.018100,272231.590000,9.359425e+07,-8.489275e-05
20,column,0.200000,0.000000,3.900000,2142.482700,319353.160000,1.368417e+08,-1.241195e-04
21,beam,0.200000,0.100000,4.000000,1454.246100,345556.440000,1.005048e+08,-9.116084e-05
22,beam,0.200000,0.300000,4.000000,-145.749650,350614.000000,-1.022037e+07,9.270181e-06
23,beam,0.200000,0.500000,4.000000,-1345.746300,357091.970000,-9.611104e+07,8.717555e-05
