udl,youngs_modulus,I22,cross_area,torsional_inertia,response_x,response_z
9.516277469652523191e-01,4.100700975154967232e-01,4.463376300055386103e-01,6.439144981837897630e-01,8.691139157570219043e-01,1.523603022702754717e-03,8.899287686256029950e-01
3.883709809201904006e-01,6.794928979577783412e-01,7.218508788815271027e-01,2.268251234854636866e-01,1.920771881969624006e-01,5.222584299949584175e-01,1.360773991705731267e-01
5.347866125732918530e-01,4.857975798884514584e-01,2.153384508115103180e-01,5.585114214934890908e-01,6.357730517504636136e-01,4.605209750548709402e-01,3.901195162446641218e-01
2.278421269918832204e-01,3.143313734753185318e-01,7.566799299173626592e-01,3.888510314328899042e-01,5.503350807592519711e-01,1.583299372670603500e-01,3.097622646382982015e-01
8.653569067457782538e-01,2.073094404223465859e-01,6.409523652557613804e-01,5.645306417228618256e-01,2.921359151163654966e-01,2.893462683728206808e-01,3.315276179526200490e-02
6.756580400572321787e-01,3.043799059165330223e-01,2.827684421108791479e-01,3.608181656843197360e-01,7.706366253323431170e-01,9.726780050704793013e-01,6.979576127463851254e-01
7.062334311248594787e-01,1.054770849136224264e-01,1.048376241279993376e-02,1.372022276564498766e-01,4.132826013106141172e-01,7.319794935043597572e-01,4.573440310015640109e-01
1.787654697744181509e-01,8.000057373453057785e-01,6.245398581405621208e-01,8.883172264061163226e-01,8.959468214629979776e-01,2.059271638358540490e-01,7.620443556112700689e-02
3.463177640288537251e-01,5.269536752529441204e-01,5.537626876170214096e-01,8.678418704040016252e-01,8.322481488809552186e-02,4.080564871160542451e-01,6.521727433449256983e-01
4.521875714114984013e-01,2.283010499996307452e-02,9.040128745887526795e-02,4.650495524534116742e-01,6.060031188710867101e-01,6.855738853395038079e-01,5.977051631729773939e-01
6.115884579487794737e-01,1.619669597672102335e-01,3.841623079207396319e-01,1.103787821334162034e-01,3.713560786444333739e-01,1.074135067486252093e-01,9.816503901395823295e-01
7.711302178295690313e-01,5.901854904786700828e-01,3.260063619308491423e-01,2.098040372953827865e-02,3.710082115999559227e-02,7.616237259583727992e-01,8.020641925057685473e-01
1.235804954291337132e-01,7.443720087015224252e-01,9.548525405877218430e-01,7.836326731092883024e-01,1.774205138103998880e-01,5.936847015560398066e-01,2.404804935804269739e-01
2.689799765576414980e-01,9.096152327766230394e-01,1.636861733689698450e-01,7.311554944282576685e-01,9.606073379300694715e-01,8.523867118404131471e-01,3.695218800427436667e-01
9.301246311174677928e-01,9.398813959656553418e-01,8.807137068307745453e-01,9.562683041368281733e-01,7.333831274087799779e-01,3.144264764157672642e-01,8.263280685021378025e-01
1.769436317756277466e-02,8.469149061160131664e-01,8.579849023846775058e-01,3.064755648654062803e-01,4.435873502160099235e-01,9.090139818853992804e-01,5.498522897002980914e-01
