udl,youngs_modulus,I22,cross_area,torsional_inertia,response_x,response_z
1.205999357504482089e-01,5.783317250441026847e-01,2.105548987960919050e-01,8.026534375907916630e-01,6.102631468487572652e-01,2.200752962034585591e-02,4.481449430069893158e-01
6.946991283321413135e-01,5.041972298584358469e-01,6.480215102628965607e-01,8.885168318623469785e-01,1.232543860706803579e-01,8.046706365927644433e-02,6.772206373819432690e-01
2.227414002169571250e-01,8.149219582205268209e-01,5.333691020451483134e-01,6.601255734195542457e-01,1.826947146437447878e-02,2.609085707266742826e-01,1.702340806369898596e-01
4.695151856941641721e-01,7.126199458409435139e-03,3.935542803442134141e-01,4.696997251746208579e-02,1.374871831661332866e-01,4.227547533388306689e-01,3.930037480451337717e-01
1.809205363571707303e-01,1.206020117327640251e-01,6.628942138683782681e-02,5.347618935498618109e-01,6.442267803390081538e-01,6.560180464268272615e-01,5.390923752552034126e-02
6.075650346666703339e-01,6.929849614232219679e-01,4.710732905204261800e-01,4.827144605235804131e-01,7.881576252633640811e-01,1.824528488885766020e-01,9.416498924402046944e-01
9.884938259664434179e-01,2.071698404665852089e-01,1.590933216420513385e-02,2.418351141799077175e-01,9.192615304224448503e-01,7.520370277029384543e-01,7.329925557499076261e-01
3.678033583276986429e-03,4.676485002893196463e-01,7.741200807164508868e-01,1.329102370077475115e-01,3.311953215104076476e-01,3.166861258207493979e-01,7.543211351541321275e-01
9.123660020753877609e-01,3.346978054371169686e-01,7.266845212770167706e-01,1.007774580783238477e-01,4.205301166813706915e-01,5.252045989331465270e-01,8.180580464406426167e-01
3.710657144169066668e-01,6.532781396771724092e-01,2.663685234102959876e-01,4.221606434649769479e-01,4.399702261681394111e-01,8.914205997759271360e-01,8.764847816535741298e-01
6.664327782210575091e-01,2.618778259974747780e-01,5.748099714137516747e-01,7.268092510726735789e-01,8.151984515660553043e-01,8.175173325252522716e-01,5.035180508113744624e-01
3.866234012422318234e-01,9.311484614962108886e-01,3.367596146611290808e-01,9.918158616423127238e-01,9.378035836110799606e-01,7.491268589422890312e-01,6.158518858216708303e-01
8.286598236342962442e-01,4.190795255923532303e-01,8.965864620730932266e-01,3.147768872301802134e-01,2.330934429913111838e-01,4.505599754677883650e-01,7.716896806574348455e-02
7.542204571511282873e-01,9.635101050042056414e-01,1.450100605558043432e-01,5.942298123413610744e-01,3.093046098218203421e-01,5.748823588382556693e-01,3.467670823661367918e-01
2.574173354424277860e-01,1.826473524091252187e-01,8.607412838027453938e-01,8.182990908829211874e-01,5.472814404829569046e-01,2.233525417997318241e-01,2.141402626987535529e-01
5.202041177728190524e-01,8.092183153152990860e-01,9.611792472717473057e-01,3.037716181738614463e-01,7.169775119140237019e-01,9.686248931745723434e-01,2.997203453892876013e-01
