udl,youngs_modulus,I22,cross_area,torsional_inertia,response_x,response_z
7.739560485559633385e-01,4.388784397520523184e-01,8.585979199113824567e-01,6.973680290593639031e-01,9.417734788764953180e-02,9.756223516367559245e-01,7.611397019903529682e-01
7.860643052769538119e-01,1.281136326755458743e-01,4.503859378955671344e-01,3.707980242325812359e-01,9.267649888486018117e-01,6.438651200806645436e-01,8.227616132708299723e-01
4.434141988273311297e-01,2.272387217847768870e-01,5.545847870158348014e-01,6.381725610417532391e-02,8.276311719925820709e-01,6.316643991220648457e-01,7.580877400853738290e-01
3.545259681298683629e-01,9.706980243949032694e-01,8.931211213221976752e-01,7.783834970737618653e-01,1.946387078519675740e-01,4.667210037270341783e-01,4.380376578722877667e-02
1.542894920675478287e-01,6.830489532424546262e-01,7.447621559078171360e-01,9.675097324342100125e-01,3.258253581381519437e-01,3.704597060348688853e-01,4.695558112758079217e-01
1.894713590842856954e-01,1.299215053354716431e-01,4.757049262259337441e-01,2.269093490508841127e-01,6.698139946825103497e-01,4.371519188723307359e-01,8.326781960578374386e-01
7.002651020022491180e-01,3.123666413820410659e-01,8.322598013952010598e-01,8.047643574968018632e-01,3.874783790301744579e-01,2.883281039302441062e-01,6.824955039749754926e-01
1.397524836093098077e-01,1.999082024751083209e-01,7.362269751005512397e-03,7.869243775021383946e-01,6.648508565920321356e-01,7.051653786263351043e-01,7.807290310219678897e-01
4.589157755383399540e-01,5.687411959528937411e-01,1.397969981276574458e-01,1.145300735359734423e-01,6.684029617904716503e-01,4.710962061431325232e-01,5.652361064811888269e-01
7.649988574160255794e-01,6.347183200005908077e-01,5.535794006579958237e-01,5.592071607454135451e-01,3.039500980626121951e-01,3.081783456793940612e-02,4.367173892323623630e-01
2.145846728195291986e-01,4.085286437246361535e-01,8.534030732681661124e-01,2.339394858653407461e-01,5.830274168906601773e-02,2.813838920219965400e-01,2.935937577666836162e-01
6.619165147268950555e-01,5.570321523412783415e-01,7.838982091064135016e-01,6.643135403273875417e-01,4.063868614400705237e-01,8.140203846660346576e-01,1.669729199077039095e-01
2.271207313386047755e-02,9.004786077564175262e-02,7.223593505964502892e-01,4.618772302513873829e-01,1.612717790336017920e-01,5.010447751033635377e-01,1.523121027131684180e-01
6.963203750777360312e-01,4.461562755740307029e-01,3.810212260964824793e-01,3.015120891478765275e-01,6.302825931188884567e-01,3.618126105533904235e-01,8.764991931610099929e-02
1.180059021205153158e-01,9.618976645495145306e-01,9.085806907076070527e-01,6.997071338107495597e-01,2.658699614595195770e-01,9.691763773477238830e-01,7.787509039657946053e-01
7.168901891589956055e-01,4.493615021437886714e-01,2.722415618451590191e-01,9.639096215349929331e-02,9.026023965438416674e-01,4.557762898336110702e-01,2.023633647952303161e-01
